frame,bay,mac_id,ilo_ip
1-Synergy106-T,1,94:40:c9:28:31:4c,10.10.106.51
1-Synergy106-T,2,94:40:c9:28:aa:42,10.10.106.53
1-Synergy106-T,4,94:40:c9:28:4a:6e,10.10.106.55
1-Synergy106-T,7,94:40:c9:28:ca:98,10.10.106.57
1-Synergy106-T,8,94:40:c9:28:d8:64,10.10.106.59
1-Synergy106-T,9,94:40:c9:28:da:8a,10.10.106.61
2-Synergy106-B,1,94:40:c9:28:3a:a8,10.10.106.50
2-Synergy106-B,2,94:40:c9:28:d8:9c,10.10.106.52
2-Synergy106-B,3,94:40:c9:28:0b:1e,10.10.106.72
2-Synergy106-B,7,94:40:c9:28:4a:08,10.10.106.56
2-Synergy106-B,8,94:40:c9:28:31:38,10.10.106.58
2-Synergy106-B,9,94:40:c9:28:ba:e8,10.10.106.75
2-Synergy106-B,10,94:40:c9:28:ca:46,10.10.106.60
